"filename", "language", "HTML", "PHP", "Ini", "JavaScript", "Python", "JSON", "comment", "blank", "total"
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\disinfection\jiayaozhuangzhi.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\disinfection\jinmoshijiayaozhuangzhi.html", "HTML", 58, 0, 0, 0, 0, 0, 0, 9, 67
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\disinfection\quanzidongganfentoujiazhuangzhi.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\disinfection\quanzidongjiayaozhuangzhi.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\disinfection\quanzidongjingshuizhuangzhi.html", "HTML", 60, 0, 0, 0, 0, 0, 0, 9, 69
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\disinfection\ziwaixianxiaoduzhuangzhi.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\dust\Cyclone_dust_collectors.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\dust\Electrostatic_precipitators_ESP.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\dust\High_efficiency_wet_film_scrubbers.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\dust\gaoxiaoshuimotuoliuchuchenqi.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\dust\index.php", "PHP", 0, 23, 0, 0, 0, 0, 10, 5, 38
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\dust\jienengwudingfangxingfengji.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\dust\jingdianchuchenqi.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\dust\xuanfengchuchenqi.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\gas\Acid_alkali_gas_scrubbing_towers.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\gas\Flue_gas_desulfurization_denitrification_equipment.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\gas\Odor_control_deodorization_units.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
